"Lng","Lat","Station","City","State","Metro","Country"
"31.571835","-85.25049","USC00010008","Abbeville","AL","Dothan","Henry"
"29.97465","-92.13429","USC00160007","Abbeville","LA","Lafayette","Vermilion"
"34.178173","-82.37901","US1SCAB0009","Abbeville","SC","Greenwood","Abbeville"
"39.509556","-76.164116","USW00013701","Aberdeen","MD","Baltimore","Harford"
"35.131546","-79.42948","USC00318089","Aberdeen","NC","Pinehurst-Southern Pines","Moore"
"45.4647","-98.48648","US1SDBR0028","Aberdeen","SD","Aberdeen","Brown"
"46.975372","-123.81572","US1WAGH0012","Aberdeen","WA","Aberdeen","Grays Harbor"
"32.44874","-99.73315","US1TXTY0007","Abilene","TX","Abilene","Taylor"
"39.462234","-76.27722","US1MDHR0013","Abingdon","MD","Baltimore","Harford"
"36.709835","-81.97735","USC00440021","Abingdon","VA","Kingsport","Washington"
"42.104824","-70.94532","US1MAPL0015","Abington","MA","Boston","Plymouth"
"40.12408","-75.119514","US1PAMT0063","Abington","PA","Philadelphia","Montgomery"
"30.478525","-90.037575","USC00160016","Abita Springs","LA","New Orleans","Saint Tammany"
"39.42845","-74.495705","USC00287131","Absecon","NJ","Atlantic City","Atlantic"
"38.667618","-77.02831","US1MDPG0031","Accokeek","MD","Washington","Prince Georges"
"34.469994","-118.19674","USR0000CACT","Acton","CA","Los Angeles-Long Beach-Anaheim","Los Angeles"
"42.485092","-71.43284","US1MAMD0053","Acton","MA","Boston","Middlesex"
"41.72237","-70.89523","USC00194295","USC00195248","Acushnet","MA","Providence"
"34.065933","-84.67688","US1GACB0015","Acworth","GA","Atlanta","Cobb"
"34.774532","-96.678345","USC00340017","Ada","OK","Ada","Pontotoc"
"34.368702","-84.93411","USC00090041","Adairsville","GA","Atlanta","Bartow"
"36.582268","-87.06556","US1TNRB0018","Adams","TN","Clarksville","Montgomery"
"33.60094","-86.95611","US1ALJF0025","Adamsville","AL","Birmingham","Jefferson"
"41.931698","-87.98895","US1ILDP0085","Addison","IL","Chicago","Du Page"
"32.96179","-96.82917","US1TXDA0075","Addison","TX","Dallas-Fort Worth","Dallas"
"41.614433","-94.017456","USC00130070","Adel","IA","Des Moines","Dallas"
"34.58277","-117.40922","USC00040024","Adelanto","CA","Riverside","San Bernardino"
"41.945606","-84.08016","USC00200032","Adrian Township","MI","Adrian","Lenawee"
"35.941242","-80.40969","US1NCDV0002","Advance","NC","Winston-Salem","Davie"
"38.55061","-90.333176","US1MOSL0029","Affton","MO","St. Louis","Saint Louis"
"42.06954","-72.614815","USC00198051","Agawam","MA","Springfield","Hampden"
"34.15334","-118.76167","USR0000CCHB","Agoura Hills","CA","Los Angeles-Long Beach-Anaheim","Los Angeles"
"21.386337","-157.92554","USC00510115","USC00510172","Aiea","HI","Urban Honolulu"
"33.560417","-81.71955","US1SCAK0032","Aiken","SC","Augusta","Aiken"
"32.371723","-112.86071","USC00020080","Ajo","AZ","Tucson","Pima"
"41.081444","-81.519005","USC00330061","Akron","OH","Akron","Summit"
"33.24428","-86.816376","US1ALSH0030","Alabaster","AL","Birmingham","Shelby"
"29.793814","-82.49442","US1FLAL0031","Alachua","FL","Gainesville","Alachua"
"37.765205","-122.24164","US1CAAL0015","Alameda","CA","San Francisco","Alameda"
"37.850204","-122.03218","USC00040064","Alamo","CA","San Francisco","Contra Costa"
"26.183685","-98.12306","US1TXHDL006","Alamo","TX","McAllen","Hidalgo"
"32.899532","-105.960266","US1NMOT0036","Alamogordo","NM","Alamogordo","Otero"
"31.578506","-84.15574","USW00013815","Albany","GA","Albany","Dougherty"
"42.65258","-73.75623","USC00300047","Albany","NY","Albany","Albany"
"44.63651","-123.10593","USC00350078","Albany","OR","Albany","Linn"
"35.350143","-80.20006","USC00310090","Albemarle","NC","Albemarle","Stanly"
"43.6478","-93.36865","US1MNFN0002","Albert Lea","MN","Albert Lea","Freeborn"
"34.267593","-86.20887","US1ALMS0001","Albertville","AL","Albertville","Marshall"
"45.231236","-93.66876","US1MNWR0011","Albertville","MN","Minneapolis-St Paul","Wright"
"42.243095","-84.75303","USC00200094","Albion","MI","Battle Creek","Calhoun"
"35.085335","-106.60555","US1NMBR0032","Albuquerque","NM","Albuquerque","Bernalillo"
"44.975056","-73.300224","US1NYCL0005","Alburgh","VT","Burlington","Grand Isle"
"40.51093","-75.60297","US1PALH0004","Alburtis","PA","Allentown","Lehigh"
"35.789528","-83.97379","USC00400056","Alcoa","TN","Knoxville","Blount"
"38.975674","-77.64187","US1VAPW0015","Aldie","VA","Washington","Loudoun"
"32.695965","-97.60225","US1TXPR0018","Aledo","TX","Dallas-Fort Worth","Parker"
"40.590843","-75.02607","US1NJHN0026","Alexandria Township","NJ","New York","Hunterdon"
"33.77399","-85.88552","US1ALCN0009","Alexandria","AL","Anniston","Calhoun"
"40.262817","-85.67581","US1INMD0032","Alexandria","IN","Indianapolis","Madison"
"38.959507","-84.38799","US1KYCB0004","Alexandria","KY","Cincinnati","Campbell"
"31.311293","-92.44514","USC00160101","Alexandria","LA","Alexandria","Rapides"
"45.884815","-95.37766","USC00210116","Alexandria","MN","Alexandria","Douglas"
"44.325855","-75.87251","US1NYJF0004","Alexandria","NY","Watertown","Jefferson"
