"City","State","Metro","Country","Lat","Lng"
"Abbeville","AL","Dothan","Henry","31.571835","-85.25049"
"Abbeville","LA","Lafayette","Vermilion","29.97465","-92.13429"
"Abbeville","SC","Greenwood","Abbeville","34.178173","-82.37901"
"Aberdeen","MD","Baltimore","Harford","39.509556","-76.164116"
"Aberdeen","MS","","Monroe","33.825115","-88.543655"
"Aberdeen","NC","Pinehurst-Southern Pines","Moore","35.131546","-79.42948"
"Aberdeen","SD","Aberdeen","Brown","45.4647","-98.48648"
"Aberdeen","WA","Aberdeen","Grays Harbor","46.975372","-123.81572"
"Abilene","KS","","Dickinson","38.91722","-97.21391"
"Abilene","TX","Abilene","Taylor","32.44874","-99.73315"
"Abingdon","MD","Baltimore","Harford","39.462234","-76.27722"
"Abingdon","VA","Kingsport","Washington","36.709835","-81.97735"
"Abington","MA","Boston","Plymouth","42.104824","-70.94532"
"Abington","PA","Philadelphia","Montgomery","40.12408","-75.119514"
"Abita Springs","LA","New Orleans","Saint Tammany","30.478525","-90.037575"
"Absecon","NJ","Atlantic City","Atlantic","39.42845","-74.495705"
"Accokeek","MD","Washington","Prince Georges","38.667618","-77.02831"
"Acton","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","34.469994","-118.19674"
"Acton","MA","Boston","Middlesex","42.485092","-71.43284"
"Acushnet","MA","Providence","Bristol","41.72237","-70.89523"
"Acworth","GA","Atlanta","Cobb","34.065933","-84.67688"
"Ada","OK","Ada","Pontotoc","34.774532","-96.678345"
"Adairsville","GA","Atlanta","Bartow","34.368702","-84.93411"
"Adams","TN","Clarksville","Montgomery","36.582268","-87.06556"
"Adams","WI","","Adams","43.95608","-89.818184"
"Adamsville","AL","Birmingham","Jefferson","33.60094","-86.95611"
"Adamsville","TN","","McNairy","35.235916","-88.390594"
"Addison","IL","Chicago","Du Page","41.931698","-87.98895"
"Addison","TX","Dallas-Fort Worth","Dallas","32.96179","-96.82917"
"Adel","GA","","Cook","31.137136","-83.42349"
"Adel","IA","Des Moines","Dallas","41.614433","-94.017456"
"Adelanto","CA","Riverside","San Bernardino","34.58277","-117.40922"
"Adrian Township","MI","Adrian","Lenawee","41.945606","-84.08016"
"Advance","NC","Winston-Salem","Davie","35.941242","-80.40969"
"Affton","MO","St. Louis","Saint Louis","38.55061","-90.333176"
"Afton","OK","","Delaware","36.693687","-94.96302"
"Afton","WY","","Lincoln","42.72493","-110.93187"
"Agawam","MA","Springfield","Hampden","42.06954","-72.614815"
"Agoura Hills","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","34.15334","-118.76167"
"Ahoskie","NC","","Hertford","36.286823","-76.98468"
"Aiea","HI","Urban Honolulu","Honolulu","21.386337","-157.92554"
"Aiken","SC","Augusta","Aiken","33.560417","-81.71955"
"Ajo","AZ","Tucson","Pima","32.371723","-112.86071"
"Akron","OH","Akron","Summit","41.081444","-81.519005"
"Alabaster","AL","Birmingham","Shelby","33.24428","-86.816376"
"Alachua","FL","Gainesville","Alachua","29.793814","-82.49442"
"Alameda","CA","San Francisco","Alameda","37.765205","-122.24164"
"Alamo","CA","San Francisco","Contra Costa","37.850204","-122.03218"
"Alamo","TX","McAllen","Hidalgo","26.183685","-98.12306"
"Alamogordo","NM","Alamogordo","Otero","32.899532","-105.960266"
"Alamosa","CO","","Alamosa","37.469448","-105.87002"
"Alanson","MI","","Emmet","45.44418","-84.78671"
"Albany","GA","Albany","Dougherty","31.578506","-84.15574"
"Albany","KY","","Clinton","36.6909","-85.134674"
"Albany","NY","Albany","Albany","42.65258","-73.75623"
"Albany","OR","Albany","Linn","44.63651","-123.10593"
"Albemarle","NC","Albemarle","Stanly","35.350143","-80.20006"
"Albert Lea","MN","Albert Lea","Freeborn","43.6478","-93.36865"
"Albertville","AL","Albertville","Marshall","34.267593","-86.20887"
"Albertville","MN","Minneapolis-St Paul","Wright","45.231236","-93.66876"
"Albion","MI","Battle Creek","Calhoun","42.243095","-84.75303"
"Albuquerque","NM","Albuquerque","Bernalillo","35.085335","-106.60555"
"Alburgh","VT","Burlington","Grand Isle","44.975056","-73.300224"
"Alburtis","PA","Allentown","Lehigh","40.51093","-75.60297"
"Alcoa","TN","Knoxville","Blount","35.789528","-83.97379"
"Aldie","VA","Washington","Loudoun","38.975674","-77.64187"
"Aledo","TX","Dallas-Fort Worth","Parker","32.695965","-97.60225"
"Alexander City","AL","","Tallapoosa","32.94401","-85.95385"
"Alexandria Township","NJ","New York","Hunterdon","40.590843","-75.02607"
"Alexandria","AL","Anniston","Calhoun","33.77399","-85.88552"
"Alexandria","IN","Indianapolis","Madison","40.262817","-85.67581"
"Alexandria","KY","Cincinnati","Campbell","38.959507","-84.38799"
"Alexandria","LA","Alexandria","Rapides","31.311293","-92.44514"
"Alexandria","MN","Alexandria","Douglas","45.884815","-95.37766"
"Alexandria","NY","Watertown","Jefferson","44.325855","-75.87251"
"Alexandria","VA","Washington","Alexandria City","38.804836","-77.04692"
"Algoma","WI","Green Bay","Kewaunee","44.608887","-87.43259"
"Algona","IA","","Kossuth","43.069965","-94.23302"
"Algonac","MI","Detroit","Saint Clair","42.618366","-82.53102"
"Algonquin","IL","Chicago","McHenry","42.16558","-88.29425"
"Alhambra","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","34.095287","-118.127014"
"Alice","TX","Alice","Jim Wells","27.752249","-98.069725"
"Aliso Viejo","CA","Los Angeles-Long Beach-Anaheim","Orange","33.568462","-117.726295"
"Allegan","MI","Holland","Allegan","42.529198","-85.8553"
"Allen Park","MI","Detroit","Wayne","42.257538","-83.21104"
"Allen","TX","Dallas-Fort Worth","Collin","33.103176","-96.67055"
"Allendale Township","MI","Grand Rapids","Ottawa","42.972187","-85.954025"
"Allendale","NJ","New York","Bergen","41.041485","-74.12903"
"Allentown","PA","Allentown","Lehigh","40.60843","-75.49018"
"Alliance","OH","Canton","Stark","40.915337","-81.105934"
"Allouez","WI","Green Bay","Brown","44.477493","-88.01621"
"Allyn","WA","Shelton","Mason","47.3818","-122.8298"
"Alma","AR","Fort Smith","Crawford","35.477867","-94.22188"
"Alma","MI","Alma","Gratiot","43.37892","-84.65973"
"Almont","MI","Detroit","Lapeer","42.920586","-83.04494"
"Aloha","OR","Portland","Washington","45.494286","-122.86704"
"Alpena","MI","Alpena","Alpena","45.06168","-83.432755"
"Alpharetta","GA","Atlanta","Fulton","34.075375","-84.29409"
"Alpine","CA","San Diego","San Diego","32.835052","-116.76641"
"Alpine","NJ","New York","Bergen","40.955933","-73.93125"
"Alpine","TX","","Brewster","30.358492","-103.66101"
"Alpine","UT","Provo","Utah","40.45328","-111.777985"
"Alpine","WY","","Lincoln","43.161095","-111.01648"
"Alsip","IL","Chicago","Cook","41.668922","-87.73866"
"Altadena","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","34.190163","-118.13132"
"Altamonte Springs","FL","Orlando","Seminole","28.661108","-81.36562"
"Alto","NM","","Lincoln","33.40284","-105.65932"
"Alton","IL","St. Louis","Madison","38.890602","-90.18427"
"Alton","NH","Laconia","Belknap","43.454323","-71.21897"
"Alton","TX","McAllen","Hidalgo","26.2873","-98.31336"
"Altoona","IA","Des Moines","Polk","41.64355","-93.47508"
"Altoona","PA","Altoona","Blair","40.51868","-78.39474"
"Altoona","WI","Eau Claire","Eau Claire","44.804684","-91.443214"
"Alturas","CA","","Modoc","41.487114","-120.54246"
"Altus","OK","Altus","Jackson","34.637764","-99.334045"
"Alva","FL","Fort Myers","Lee","26.715624","-81.61008"
"Alva","OK","","Woods","36.80503","-98.66647"
"Alvarado","TX","Dallas-Fort Worth","Johnson","32.406532","-97.21168"
"Alvaton","KY","Bowling Green","Warren","36.873787","-86.35304"
"Alvin","TX","Houston","Brazoria","29.423847","-95.2441"
"Amagansett","NY","New York","Suffolk","40.973713","-72.14369"
"Amarillo","TX","Amarillo","Potter","35.221996","-101.8313"
"Ambridge","PA","Pittsburgh","Beaver","40.589233","-80.22506"
"Amelia Court House","VA","Richmond","Amelia","37.342606","-77.980545"
"Amelia","OH","Cincinnati","Clermont","39.028397","-84.21771"
"American Canyon","CA","Napa","Napa","38.17492","-122.2608"
"American Fork","UT","Provo","Utah","40.376896","-111.79576"
"Americus","GA","Americus","Sumter","32.072388","-84.23269"
"Amery","WI","","Polk","45.306908","-92.36214"
"Ames","IA","Ames","Story","42.03078","-93.63191"
"Amherst","MA","Springfield","Hampshire","42.373222","-72.51985"
"Amherst","NH","Manchester","Hillsborough","42.861473","-71.62535"
"Amherst","NY","Buffalo","Erie","42.979008","-78.792274"
"Amherst","OH","Cleveland","Lorain","41.397823","-82.222374"
"Amherst","VA","Lynchburg","Amherst","37.58514","-79.051414"
"Amissville","VA","Washington","Culpeper","38.67151","-77.99555"
"Amity Township","PA","Reading","Berks","40.29338","-75.73715"
"Amityville","NY","New York","Suffolk","40.67899","-73.41707"
"Ammon","ID","Idaho Falls","Bonneville","43.469635","-111.96664"
"Amory","MS","","Monroe","33.984276","-88.4881"
"Anaconda","MT","","Deer Lodge","46.1263","-112.94784"
"Anacortes","WA","Mount Vernon","Skagit","48.512604","-122.61267"
"Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange","33.836594","-117.9143"
"Anamosa","IA","Cedar Rapids","Jones","42.108337","-91.28516"
"Anchor Point","AK","","Kenai Peninsula","59.77667","-151.83139"
"Anchorage","AK","Anchorage","Anchorage","61.218056","-149.90028"
"Andalusia","AL","","Covington","31.308504","-86.48329"
"Anderson","CA","Redding","Shasta","40.448208","-122.29778"
"Anderson","IN","Indianapolis","Madison","40.10532","-85.68025"
"Anderson","SC","Greenville","Anderson","34.50344","-82.65013"
"Andersonville","TN","Knoxville","Anderson","36.19864","-84.03692"
"Andover","KS","Wichita","Butler","37.713905","-97.13643"
"Andover","MN","Minneapolis-St Paul","Anoka","45.2333","-93.29134"
"Andrews","NC","","Cherokee","35.201756","-83.824066"
"Andrews","TX","Andrews","Andrews","32.318714","-102.545715"
"Angel Fire","NM","","Colfax","36.39309","-105.28501"
"Angels","CA","","Calaveras","38.067783","-120.53853"
"Angier","NC","Dunn","Harnett","35.507103","-78.73918"
"Angleton","TX","Houston","Brazoria","29.16941","-95.431885"
"Angola","IN","Angola","Steuben","41.634773","-84.99941"
"Ankeny","IA","Des Moines","Polk","41.73179","-93.60013"
"Ann Arbor","MI","Ann Arbor","Washtenaw","42.280827","-83.743034"
"Anna Maria","FL","North Port-Sarasota-Bradenton","Manatee","27.504126","-82.71448"
"Anna","TX","Dallas-Fort Worth","Collin","33.349003","-96.5486"
"Annandale","MN","Minneapolis-St Paul","Wright","45.261112","-94.12417"
"Annandale","VA","Washington","Fairfax","38.83039","-77.19637"
"Annapolis","CA","Santa Rosa","Sonoma","38.719685","-123.36776"
"Annapolis","MD","Baltimore","Anne Arundel","38.978447","-76.49218"
"Anniston","AL","Anniston","Calhoun","33.659824","-85.831635"
"Annville","PA","Lebanon","Lebanon","40.329536","-76.51524"
"Ansonia","CT","New Haven","New Haven","41.346207","-73.078995"
"Anthem","AZ","Phoenix","Maricopa","33.854336","-112.12514"
"Anthony","NM","Las Cruces","Dona Ana","32.00399","-106.60583"
"Antigo","WI","","Langlade","45.140244","-89.152336"
"Antioch","CA","San Francisco","Contra Costa","38.00492","-121.805786"
"Antioch","IL","Chicago","Lake","42.47724","-88.09564"
"Antlers","OK","","Pushmataha","34.231213","-95.62025"
"Antrim Township","PA","Chambersburg","Franklin","39.757797","-77.72231"
"Apache Junction","AZ","Phoenix","Pinal","33.415047","-111.549576"
"Apalachicola","FL","","Franklin","29.725767","-84.983246"
"Apex","NC","Raleigh","Wake","35.73265","-78.85029"
"Apollo Beach","FL","Tampa","Hillsborough","27.773083","-82.40759"
"Apopka","FL","Orlando","Orange","28.693407","-81.53221"
"Apple River","IL","","Jo Daviess","42.505005","-90.09874"
"Apple Valley","CA","Riverside","San Bernardino","34.50083","-117.185875"
"Apple Valley","MN","Minneapolis-St Paul","Dakota","44.73191","-93.21772"
"Appleton","WI","Appleton","Outagamie","44.261932","-88.41538"
"Appling","GA","Augusta","Columbia","33.54609","-82.316315"
"Appomattox","VA","Lynchburg","Appomattox","37.35709","-78.825294"
"Aptos","CA","Santa Cruz","Santa Cruz","36.977173","-121.8994"
"Arab","AL","Albertville","Marshall","34.31815","-86.49582"
"Aransas Pass","TX","Corpus Christi","San Patricio","27.909468","-97.14999"
"Arcade","NY","","Wyoming","42.53395","-78.42307"
"Arcadia","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","34.13973","-118.03535"
"Arcadia","FL","Arcadia","De Soto","27.215883","-81.85841"
"Archdale","NC","Greensboro","Randolph","35.91458","-79.971985"
"Archer","FL","Gainesville","Alachua","29.529968","-82.519"
"Arcola","TX","Houston","Fort Bend","29.49607","-95.465775"
"Arden","DE","Philadelphia","New Castle","39.80928","-75.48659"
"Arden","NC","Asheville","Buncombe","35.46616","-82.5167"
"Arden-Arcade","CA","Sacramento","Sacramento","38.600807","-121.37704"
"Ardmore","OK","Ardmore","Carter","34.174263","-97.14362"
"Ardmore","PA","Philadelphia","Delaware","40.00678","-75.28546"
"Argo","AL","Birmingham","Saint Clair","33.688477","-86.50218"
"Arkadelphia","AR","Arkadelphia","Clark","34.12093","-93.05379"
"Arkdale","WI","","Adams","44.027298","-89.88783"
"Arlington Heights","IL","Chicago","Cook","42.08836","-87.98063"
"Arlington","MA","Boston","Middlesex","42.415394","-71.15647"
"Arlington","TX","Dallas-Fort Worth","Tarrant","32.735687","-97.10806"
"Arlington","VA","Washington","Arlington","38.87997","-77.10677"
"Arlington","WA","Seattle","Snohomish","48.19871","-122.125145"
"Arnold","CA","","Calaveras","38.255474","-120.35103"
"Arnold","MD","Baltimore","Anne Arundel","39.032055","-76.50274"
"Arnold","MO","St. Louis","Jefferson","38.43283","-90.37762"
"Arnolds Park","IA","Spirit Lake","Dickinson","43.37274","-95.123886"
"Arrington","TN","Nashville","Williamson","35.86812","-86.70917"
"Arroyo Grande","CA","San Luis Obispo","San Luis Obispo","35.118587","-120.59073"
"Artesia","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","33.86585","-118.08312"
"Artesia","NM","Carlsbad","Eddy","32.842335","-104.4033"
"Arvada","CO","Denver","Jefferson","39.802765","-105.08749"
"Asbury Park","NJ","New York","Monmouth","40.22039","-74.012085"
"Ashburn","VA","Washington","Loudoun","39.04376","-77.48744"
"Ashburnham","MA","Worcester","Worcester","42.635544","-71.90974"
"Ashdown","AR","Texarkana","Little River","33.674286","-94.1313"
"Asheboro","NC","Greensboro","Randolph","35.707916","-79.813644"
"Asheville","NC","Asheville","Buncombe","35.59506","-82.55148"
"Ashford","AL","Dothan","Houston","31.182957","-85.23632"
"Ashford","CT","Worcester","Windham","41.873066","-72.12161"
"Ashland City","TN","Nashville","Cheatham","36.27422","-87.06417"
"Ashland","KY","Huntington","Boyd","38.478413","-82.63794"
"Ashland","MA","Boston","Middlesex","42.261208","-71.463394"
"Ashland","MO","Columbia","Boone","38.77448","-92.25713"
"Ashland","OH","Ashland","Ashland","40.868668","-82.318214"
"Ashland","OR","Medford","Jackson","42.194576","-122.70948"
"Ashland","PA","Pottsville","Schuylkill","40.781754","-76.34578"
"Ashland","VA","Richmond","Hanover","37.759033","-77.47998"
"Ashland","WI","","Ashland","46.59244","-90.8838"
"Ashtabula","OH","Ashtabula","Ashtabula","41.865055","-80.78981"
"Ashville","AL","Birmingham","Saint Clair","33.837044","-86.254425"
"Ashville","OH","Columbus","Pickaway","39.71562","-82.95296"
"Aspen","CO","Glenwood Springs","Pitkin","39.191097","-106.817535"
"Aston","PA","Philadelphia","Delaware","39.86482","-75.425735"
"Astoria","OR","Astoria","Clatsop","46.187885","-123.83125"
"Atascadero","CA","San Luis Obispo","San Luis Obispo","35.489418","-120.67072"
"Atascocita","TX","Houston","Harris","29.99883","-95.1766"
"Atchison","KS","Atchison","Atchison","39.563053","-95.121635"
"Athens Township","PA","Sayre","Bradford","41.936554","-76.571945"
"Athens","AL","Huntsville","Limestone","34.802868","-86.97167"
"Athens","GA","Athens","Clarke","33.951935","-83.35757"
"Athens","OH","Athens","Athens","39.32924","-82.10126"
"Athens","TN","Athens","McMinn","35.442852","-84.59299"
"Athens","TX","Athens","Henderson","32.204872","-95.85552"
"Athol","ID","Coeur d'Alene","Kootenai","47.94796","-116.70798"
"Atkins","AR","Russellville","Pope","35.24647","-92.93656"
"Atlanta","GA","Atlanta","Fulton","33.748997","-84.387985"
"Atlanta","MI","","Montmorency","45.00473","-84.14389"
"Atlanta","TX","","Cass","33.113743","-94.16435"
"Atlantic Beach","FL","Jacksonville","Duval","30.334408","-81.3987"
"Atlantic Beach","NC","Morehead City","Carteret","34.69905","-76.74021"
"Atlantic Beach","NY","New York","Nassau","40.588993","-73.72902"
"Atlantic City","NJ","Atlantic City","Atlantic","39.364285","-74.42293"
"Atlantic Highlands","NJ","New York","Monmouth","40.407887","-74.03431"
"Atlantic","IA","","Cass","41.403603","-95.01388"
"Atmore","AL","","Escambia","31.023792","-87.49387"
"Atoka","OK","","Atoka","34.385925","-96.12833"
"Atoka","TN","Memphis","Tipton","35.423206","-89.78491"
"Attalla","AL","Gadsden","Etowah","34.021763","-86.088585"
"Attleboro","MA","Providence","Bristol","41.944546","-71.28561"
"Atwater","CA","Merced","Merced","37.347717","-120.609085"
"Au Gres","MI","","Arenac","44.04863","-83.695816"
"Au Sable Township","MI","","Iosco","44.376106","-83.35757"
"Auberry","CA","Fresno","Fresno","37.080784","-119.48541"
"Aubrey","TX","Dallas-Fort Worth","Denton","33.304283","-96.986115"
"Auburn Hills","MI","Detroit","Oakland","42.68753","-83.2341"
